Name,Score
Kimi no Na wa.,0.648607451086153
Koe no Katachi,0.6161774968899782
Shingeki no Kyojin,0.6101459995823053
Boku dake ga Inai Machi,0.6061546685093024
No Game No Life,0.5959112526075467
One Punch Man,0.5858252308858931
Tokyo Ghoul,0.5823212526544435
Sword Art Online,0.5821390138983551
Boku no Hero Academia,0.5784161129294514
Noragami,0.5744139414950358
Re:Zero kara Hajimeru Isekai Seikatsu,0.5733632269663991
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,0.5700664775562323
Shingeki no Kyojin Season 2,0.543179191794755
Angel Beats!,0.5412572940782798
Sword Art Online II,0.540265823052281
Shokugeki no Souma,0.5392285006099259
Charlotte,0.5357873796691446
Toradora!,0.5343871370499548
Steins;Gate,0.5333576039703269
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,0.5314237522772569
Boku no Hero Academia 2nd Season,0.5284282587354879
Death Note,0.524075708424951
Kono Subarashii Sekai ni Shukufuku wo!,0.5228736241097501
Noragami Aragoto,0.5203806210145727
Haikyuu!!,0.5150839791779985
Kiseijuu: Sei no Kakuritsu,0.5145529553497489
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,0.5128333058430313
Tokyo Ghoul √A,0.5123820956481464
Akame ga Kill!,0.5113858566094778
Death Parade,0.5081270346281649
Fullmetal Alchemist: Brotherhood,0.5081237165548408
Nanatsu no Taizai,0.50399625410056
Nisekoi,0.5028558382813553
Sakura-sou no Pet na Kanojo,0.4991711865309028
Mirai Nikki,0.4984786893563338
ReLIFE,0.48875530689258656
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,0.4878593294679209
Ansatsu Kyoushitsu,0.48311888603562936
Violet Evergarden,0.4825463108673218
Haikyuu!! Second Season,0.4824159196787274
Kimetsu no Yaiba,0.47713704248313815
Shingeki no Kyojin Season 3,0.47078607549648055
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,0.4698984328425473
Shokugeki no Souma: Ni no Sara,0.46965331753236844
Hataraku Maou-sama!,0.4693277759179596
Boku no Hero Academia 3rd Season,0.4673644026902283
Hunter x Hunter (2011),0.4648520744655997
Kotonoha no Niwa,0.4601532330071113
Kono Subarashii Sekai ni Shukufuku wo! 2,0.4596415440081121
Yakusoku no Neverland,0.45768269705535597
Another,0.4569391290885246
Mob Psycho 100,0.45650247150456197
Chuunibyou demo Koi ga Shitai!,0.4559044320617441
Shingeki no Kyojin Season 3 Part 2,0.45363540656087686
Golden Time,0.45334385463238747
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,0.4533046783634183
Code Geass: Hangyaku no Lelouch,0.45196855093078103
Zankyou no Terror,0.4489668717747828
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,0.44885320032125947
Hyouka,0.4466132578746277
Plastic Memories,0.4464913477242607
Ao no Exorcist,0.44044954390527785
Sen to Chihiro no Kamikakushi,0.44009967198391686
Naruto,0.4379837943123689
Ao Haru Ride,0.4355931098294279
Clannad,0.4342218185258571
Code Geass: Hangyaku no Lelouch R2,0.43366597347462077
Kyoukai no Kanata,0.4329381858269166
Clannad: After Story,0.43184069116352425
Ansatsu Kyoushitsu 2nd Season,0.4253887482260519
Fate/Zero,0.42431445075693447
Fate/stay night: Unlimited Blade Works,0.4235989122170059
Nisekoi:,0.4198942057814493
Made in Abyss,0.41876483526355085
Tonari no Kaibutsu-kun,0.4182784538359343
Byousoku 5 Centimeter,0.41658820898624727
Kokoro Connect,0.4165563877712427
Overlord,0.41593893697089107
Psycho-Pass,0.41436100533611187
Bakemonogatari,0.4136494031987299
Owari no Seraph,0.4128318595032197
Guilty Crown,0.41112471337310963
Darling in the FranXX,0.41029911451667467
Fate/Zero 2nd Season,0.4047981485023795
Gekkan Shoujo Nozaki-kun,0.4046262775335366
Shokugeki no Souma: San no Sara,0.4030302499056025
Kuroko no Basket,0.4001761155488754
Yamada-kun to 7-nin no Majo (TV),0.40017013211972785
High School DxD,0.3999422245295853
Kakegurui,0.39980689519838986
Hotarubi no Mori e,0.3991216117552958
Fate/stay night: Unlimited Blade Works 2nd Season,0.39835572326790036
Naruto: Shippuuden,0.39421184606846477
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),0.3928841996000092
Orange,0.39216381454912613
Ookami Kodomo no Ame to Yuki,0.38997414520573326
Kill la Kill,0.3885349023262822
Kuroko no Basket 2nd Season,0.3879320543104799
Kimi no Suizou wo Tabetai,0.38652093759219175
Mahou Shoujo Madoka★Magica,0.3859555403346126
Masamune-kun no Revenge,0.38429173192496524
Prison School,0.38163404995381833
Highschool of the Dead,0.381139814604294
Kaichou wa Maid-sama!,0.38112760267890466
Tate no Yuusha no Nariagari,0.3783158953059603
Tenki no Ko,0.3757316069586281
Mahouka Koukou no Rettousei,0.3744862379301327
Kuroko no Basket 3rd Season,0.3736404530994416
Rakudai Kishi no Cavalry,0.3719356037581119
Chuunibyou demo Koi ga Shitai! Ren,0.3701538459813225
Mob Psycho 100 II,0.3697183676611636
Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,0.3695234197117341
Kobayashi-san Chi no Maid Dragon,0.3692483919631778
Log Horizon,0.36844344266298645
Dr. Stone,0.3677735677169749
Boku no Hero Academia 4th Season,0.36621171139027375
Sword Art Online Movie: Ordinal Scale,0.36615008928270254
Fairy Tail,0.3647712248826343
Kuzu no Honkai,0.3619263830651605
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,0.36176047159109576
Saenai Heroine no Sodatekata,0.3611554305406829
Bungou Stray Dogs,0.3608748327956249
Date A Live,0.35898458344826806
Tsuki ga Kirei,0.3577835578826182
Nisemonogatari,0.35722437447566946
Nagi no Asu kara,0.35471854910401424
Akatsuki no Yona,0.3545861568335563
Wotaku ni Koi wa Muzukashii,0.35457868321836805
High School DxD New,0.35423819000110024
Barakamon,0.3530732776273786
One Punch Man 2nd Season,0.35255358940195036
Black Bullet,0.35253711469182014
Tsurezure Children,0.3512527514734888
Shelter,0.35018030097843256
Durarara!!,0.34892630402507374
Btooom!,0.348852080524936
Magi: The Labyrinth of Magic,0.34864196183177276
3-gatsu no Lion,0.34738467136331524
Nanatsu no Taizai: Imashime no Fukkatsu,0.34736945804451486
Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,0.3464833784668703
Elfen Lied,0.346047081311919
Howl no Ugoku Shiro,0.3451602001728752
Amagi Brilliant Park,0.34087827825777756
Tengen Toppa Gurren Lagann,0.34054868112178316
Deadman Wonderland,0.340212350231178
Toki wo Kakeru Shoujo,0.3400772949532339
Owari no Seraph: Nagoya Kessen-hen,0.3392726519312812
No Game No Life: Zero,0.3392121212501187
Sukitte Ii na yo.,0.3390098345502044
Sword Art Online: Alicization,0.33871953690925743
Hai to Gensou no Grimgar,0.338588082666605
Ore Monogatari!!,0.33839830072743554
Koutetsujou no Kabaneri,0.33803308374632285
Kiznaiver,0.33792541947826976
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",0.3358443822735946
Yuri!!! on Ice,0.3344919083978161
Tensei shitara Slime Datta Ken,0.3339747451068077
Neon Genesis Evangelion,0.33266331920363185
Monogatari Series: Second Season,0.3321779443234552
Trinity Seven,0.33119808720232147
Mononoke Hime,0.3311565915201953
Magi: The Kingdom of Magic,0.33051039958037876
K-On!,0.3298110227596279
Haikyuu!!: To the Top,0.3292829769759994
Eromanga-sensei,0.3291577762922428
JoJo no Kimyou na Bouken (TV),0.3290498151121091
Boku wa Tomodachi ga Sukunai,0.32862030499211414
Tokyo Ghoul:re,0.32833521871815774
Tonari no Totoro,0.32782089320004804
Nekomonogatari: Kuro,0.326867024396305
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,0.32656345580230595
High School DxD BorN,0.32607534421871015
Kimi ni Todoke,0.32555650627352506
Akagami no Shirayuki-hime,0.32353486738876586
Devilman: Crybaby,0.32003069552569224
Steins;Gate 0,0.31989310920530134
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,0.3197936007539897
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,0.3183470191087082
Goblin Slayer,0.317133853685327
Gamers!,0.31709025183014733
Himouto! Umaru-chan,0.3169084913939813
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,0.3147017772160541
Grisaia no Kajitsu,0.3129586412018931
Domestic na Kanojo,0.3129062867960223
Psycho-Pass 2,0.3128849659414845
Vinland Saga,0.3126157381420772
5-toubun no Hanayome,0.31244927329039085
Hibike! Euphonium,0.31164647884869406
Gakusen Toshi Asterisk,0.31120413562253313
Steins;Gate: Oukoubakko no Poriomania,0.31080605634465786
Overlord II,0.3098471357372807
Danshi Koukousei no Nichijou,0.3087671639130467
Kami no Tou,0.307750916962396
Free!,0.30632332527627953
Aldnoah.Zero,0.30465426855463007
Sakamoto Desu ga?,0.30301771402858513
Date A Live II,0.3029841120117844
Shigatsu wa Kimi no Uso: Moments,0.30281989134971654
Ore no Imouto ga Konnani Kawaii Wake ga Nai,0.30277457918698897
Kokoro ga Sakebitagatterunda.,0.3026750760470277
Rokka no Yuusha,0.30150020016622825
Bungou Stray Dogs 2nd Season,0.30074917468065043
"Kanojo, Okarishimasu",0.3000968018976659
Ookami Shoujo to Kuro Ouji,0.29998544109847747
Youjo Senki,0.2990367111879463
