series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import
31646,3-gatsu no Lion,TV,22,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
41457,86,TV,11,0,11,2022-05-08,2022-05-08,,9,,0.00,Completed,,1,,LOW,,0,0,1,default,0
48569,86 Part 2,TV,12,0,12,2022-05-08,2022-05-09,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11,0,11,2022-06-15,2022-06-16,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
5081,Bakemonogatari,TV,15,0,15,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36649,Banana Fish,TV,24,0,24,2021-04-27,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
10800,Chihayafuru,TV,25,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
47398,Chuukou Ikkan!! Kimetsu Gakuen Monogatari: Valentine-hen,ONA,4,0,4,0000-00-00,2021-04-01,,4,,0.00,Completed,,0,,LOW,,0,0,1,default,0
2167,Clannad,TV,23,0,23,2021-04-28,2021-05-05,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
4181,Clannad: After Story,TV,24,0,24,2021-05-05,0000-00-00,,9,,0.00,Completed,mens ((,0,,LOW,,0,0,1,default,0
1575,Code Geass: Hangyaku no Lelouch,TV,25,0,25,2022-06-05,2022-06-12,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
2904,Code Geass: Hangyaku no Lelouch R2,TV,25,0,25,2022-06-12,2022-06-15,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
1,Cowboy Bebop,TV,26,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
35849,Darling in the FranXX,TV,24,0,24,2021-04-10,0000-00-00,,8,,0.00,Completed,what the fuck just happened,0,,LOW,,0,0,1,default,0
25537,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,Movie,1,0,1,2021-08-06,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
33049,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Movie,1,0,1,2021-08-06,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
33050,Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie,1,0,1,2021-08-07,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
22297,Fate/stay night: Unlimited Blade Works,TV,12,0,13,2021-07-25,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
28701,Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,0,13,2021-07-26,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31389,Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,Special,1,0,1,0000-00-00,2021-07-27,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
10087,Fate/Zero,TV,13,0,13,2021-08-08,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
11741,Fate/Zero 2nd Season,TV,12,0,6,2021-09-03,0000-00-00,,0,,0.00,On-Hold,,0,,LOW,,0,0,1,default,0
38680,Fruits Basket 1st Season,TV,25,0,25,2021-07-05,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40417,Fruits Basket 2nd Season,TV,25,0,25,2021-07-10,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
49310,Fruits Basket: Prelude,Movie,1,0,1,2022-04-19,2022-04-19,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
42938,Fruits Basket: The Final,TV,13,0,13,2021-07-13,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
5114,Fullmetal Alchemist: Brotherhood,TV,64,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
41025,Fumetsu no Anata e,TV,20,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
918,Gintama,TV,201,0,201,2022-01-15,0000-00-00,,7,,0.00,Completed,ep 189 man,0,,LOW,,0,0,1,default,0
7472,Gintama Movie 1: Shinyaku Benizakura-hen,Movie,1,0,1,2022-01-23,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,0,1,0000-00-00,2022-04-07,,10,,0.00,Completed,“waste of a voice actor” omegalul,0,,LOW,,0,0,1,default,0
9969,Gintama',TV,51,0,51,2022-03-16,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
15417,Gintama': Enchousen,TV,13,0,13,2022-04-01,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
34096,Gintama.,TV,12,0,12,2022-04-22,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
35843,Gintama.: Porori-hen,TV,13,0,13,2022-04-11,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36838,Gintama.: Shirogane no Tamashii-hen,TV,12,0,12,2022-04-24,2022-05-05,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37491,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,14,0,14,2022-05-05,2022-05-06,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
39486,Gintama: The Final,Movie,1,0,1,2022-05-06,2022-05-06,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
44087,Gintama: The Semi-Final,Special,2,0,2,2022-05-06,2022-05-06,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
28977,Gintama°,TV,51,0,51,2022-04-07,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
32366,Gintama°: Aizome Kaori-hen,OVA,2,0,2,2022-04-17,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
17895,Golden Time,TV,24,0,0,2021-09-08,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
